case_id,pkt_file,evidence_file,evidence_status,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C01,Cisco__1__DNS_Problem_.pkt,,Pending,PENDING — evidence not yet supplied for this DNS Problem case.,,,,,DNS,Unknown
C02,Cisco__2__DHCP_Problem_.pkt,Cisco @6.docx,Complete,"PC3 was switched to DHCP mode and displayed 'DHCP request failed' — no IPv4 address, gateway, or DNS server was received.","One Cisco 2911 router, one switch, and four PCs on a single LAN 192.168.10.0/24. Router provides DHCP via pool 'LAN' (network 192.168.10.0/24, default-router 192.168.10.1, dns-server 8.8.8.8, excluded 192.168.10.1).","Router# show ip interface brief
GigabitEthernet0/0  192.168.10.1  YES manual  up  up
Router# show run | include dhcp
no service dhcp
ip dhcp pool LAN
 network 192.168.10.0 255.255.255.0
 default-router 192.168.10.1
 dns-server 8.8.8.8",DHCP service disabled on the router ('no service dhcp') despite the DHCP pool being fully configured,Layer 7 (Application),DHCP service disabled,High
C03,Cisco__3__Gateway_Problem_.pkt,,Pending,PENDING — evidence not yet supplied for this Gateway Problem case.,,,,,Gateway,Unknown
C04,Cisco__4__ACL_.pkt,Cisco @4.pdf,Complete,"PC0 (192.168.10.10) could not reach Server0 (192.168.20.20) — ping showed 'Destination host unreachable' from the local gateway 192.168.10.1, 4 sent / 0 received / 100% loss.","Router0 (G0/0 192.168.10.1/24 to Switch0/PC0, G0/1 192.168.20.1/24 to Switch1/PC1 and Server0), single router-on-a-stick style topology with two subnets.","Router#show access-lists
Extended IP access list 100
 10 deny ip host 192.168.10.10 host 192.168.20.20
 20 permit ip any any
Router#show run interface gigabitEthernet 0/1
 ip access-group 100 out","Extended ACL 100 explicitly denies traffic from PC0 (192.168.10.10) to Server0 (192.168.20.20), applied outbound on Gi0/1",Layer 3/4 (Network/Transport),ACL misconfiguration,High
C05,Cisco__5__TRUNK_.pkt,Cisco @15.pdf,Complete,Team needed to verify the inter-switch trunk carries both VLAN 10 (USERS) and VLAN 20 (STUDENTS); found only VLAN 1 and VLAN 20 permitted on Switch0 Fa0/2's allowed-VLAN list.,"Two Cisco 2960-24TT switches connected via Switch0 Fa0/2 <-> Switch1 Fa0/24. PC0/PC1 on Switch0, PC2/PC3 on Switch1. VLAN10=USERS, VLAN20=STUDENTS.","Switch0#show interfaces trunk
Fa0/2  802.1Q  trunking  Native VLAN 1
Vlans allowed on trunk: 1,20
Switch0#show vlan brief
VLAN10 USERS active Fa0/1
VLAN20 STUDENTS active
PC0>ping 192.168.20.12 -> 4/4 replies, 0% loss",VLAN 10 not included in the trunk's allowed-VLAN list on Switch0 Fa0/2 (only VLAN 1 and 20 permitted),Layer 2 (Data Link),Trunk allowed-VLAN list,Medium
C06,Cisco__6__IP_Address_Conflict_.pkt,Cisco @17.pdf,Complete,"PC0 and PC1 were both assigned IPv4 address 192.168.10.10, producing an IP address conflict on the LAN.","One Cisco 2960 switch with PC0 (Fa0/1), PC1 (Fa0/2), PC2 (Fa0/3) directly connected; subnet 192.168.10.0/24.","PC0 IP config: 192.168.10.10/24, gateway 192.168.10.1
PC1 IP config (fault): 192.168.10.10/24 (duplicate of PC0)
PC2>arp -a and ping 192.168.10.10 used to confirm which host responds",Duplicate IP address 192.168.10.10 assigned to both PC0 and PC1,Layer 3 (Network),Duplicate IP,Medium
C07,Cisco__7__Default_Wrong_Gateway_.pkt,Cisco @18.pdf,Complete,PC0 could ping its local gateway 192.168.10.1 but could not reach PC1 on 192.168.20.0/24 — ping to 192.168.20.10 returned 100% packet loss.,"Router0 (G0/0 192.168.10.1/24, G0/1 192.168.20.1/24), two switches, PC0 (192.168.10.10) and PC1 (192.168.20.10).","PC0>ping 192.168.20.10 -> Request timed out (100% loss)
PC0>ping 192.168.10.1 -> Reply received
PC0 IP config shows default gateway is NOT 192.168.10.1",PC0 configured with an incorrect default gateway instead of the correct 192.168.10.1,Layer 3 (Network),Gateway mismatch,High
C08,Cisco__8__RIP_Routing_Error_.pkt,Cisco @20.pdf,Complete,PC0 could no longer reach PC1 on the remote LAN after previously working; the RIP-learned route to 192.168.20.0/24 was missing from Router0's routing table.,"Router0 (G0/0 192.168.10.1/24, G0/1 10.0.12.1/30) and Router1 (G0/1 10.0.12.2/30, G0/0 192.168.20.1/24) run RIPv2, no auto-summary. PC0 on 192.168.10.0/24, PC1 on 192.168.20.0/24.","Router1#show ip protocols
Routing for Networks:
 10.0.0.0  (192.168.20.0 statement missing)
Router0#show ip route
(no R-coded route for 192.168.20.0/24)",Missing 'network 192.168.20.0' statement under Router1's RIP configuration,Layer 3 (Network),Routing protocol mismatch,High
C09,Cisco__9__Post_Security_.pkt,Cisco @22.pdf,Complete,PC0 lost connectivity to PC1; the switch port Fa0/1 entered an err-disabled state after a port-security violation.,"Cisco 2960 switch with PC0 (192.168.10.10, Fa0/1) and PC1 (192.168.10.11); Port Security enabled on Fa0/1 with one allowed secure MAC and violation mode = shutdown.","Switch0#show port-security interface fa0/1
Port Security: Enabled
Port Status: Secure-shutdown
Security Violation Count: 1
%PSECURE-2: Security violation on Fa0/1",Incorrect secure MAC address configured on Fa0/1; PC0's real MAC triggered a security violation and err-disabled the port,Layer 2 (Data Link),Port security violation,High
C10,Cisco__10__Wrong_Switch_Port_.pkt,Cisco @23.pdf,Complete,"PC0, expected in VLAN 10 (USERS) on Fa0/1, was not correctly reaching intended VLAN 10 peers because Fa0/1 was assigned to the wrong access VLAN.","Cisco 2960-24TT (Switch0) with VLAN 10 (USERS) and VLAN 20 (STUDENTS). PC0 on Fa0/1 (should be VLAN10, 192.168.10.10/24), PC1 on Fa0/2 (VLAN20, 192.168.20.10/24).","Switch0#show interfaces fastEthernet 0/1 switchport
Administrative Mode: static access
Access Mode VLAN: 20  (should be 10)",Fa0/1 assigned to the wrong access VLAN (20 instead of 10),Layer 2 (Data Link),VLAN misconfiguration,High
